,,,,,,,,,,,,,,,,,,,,,,,,,,
12,22,44,ECS,G2,44,LNX,1Y,NU," SAR 1,642.78 ",,ECS,G2,44,WIN,1Y,NU," SAR 3,740.60 ",,ECS,G2,44,RH,1Y,NU," SAR 2,355.18 "
13,24,48,ECS,G2,48,LNX,1Y,NU," SAR 1,792.13 ",,ECS,G2,48,WIN,1Y,NU," SAR 4,080.65 ",,ECS,G2,48,RH,1Y,NU," SAR 2,504.53 "
14,26,52,ECS,G2,52,LNX,1Y,NU," SAR 1,941.47 ",,ECS,G2,52,WIN,1Y,NU," SAR 4,420.71 ",,ECS,G2,52,RH,1Y,NU," SAR 2,653.87 "
15,28,56,ECS,G2,56,LNX,1Y,NU," SAR 2,090.82 ",,ECS,G2,56,WIN,1Y,NU," SAR 4,760.76 ",,ECS,G2,56,RH,1Y,NU," SAR 2,803.22 "
16,30,60,ECS,G2,60,LNX,1Y,NU," SAR 2,240.16 ",,ECS,G2,60,WIN,1Y,NU," SAR 5,100.82 ",,ECS,G2,60,RH,1Y,NU," SAR 2,952.56 "
17,32,64,ECS,G2,64,LNX,1Y,NU," SAR 2,389.50 ",,ECS,G2,64,WIN,1Y,NU," SAR 5,440.87 ",,ECS,G2,64,RH,1Y,NU," SAR 3,101.90 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:1),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,1,1,ECS,C1,1,LNX,1Y,NU, SAR 57.66 ,,ECS,C1,1,WIN,1Y,NU, SAR 122.21 ,,ECS,C1,1,RH,1Y,NU, SAR 380.06 
2,2,2,ECS,C1,2,LNX,1Y,NU, SAR 115.31 ,,ECS,C1,2,WIN,1Y,NU, SAR 244.43 ,,ECS,C1,2,RH,1Y,NU, SAR 437.71 
3,4,4,ECS,C1,4,LNX,1Y,NU, SAR 230.62 ,,ECS,C1,4,WIN,1Y,NU, SAR 488.85 ,,ECS,C1,4,RH,1Y,NU, SAR 553.02 
4,6,6,ECS,C1,6,LNX,1Y,NU, SAR 345.93 ,,ECS,C1,6,WIN,1Y,NU, SAR 733.28 ,,ECS,C1,6,RH,1Y,NU, SAR 668.33 
5,8,8,ECS,C1,8,LNX,1Y,NU, SAR 461.24 ,,ECS,C1,8,WIN,1Y,NU, SAR 977.70 ,,ECS,C1,8,RH,1Y,NU, SAR 783.64 
6,10,10,ECS,C1,10,LNX,1Y,NU, SAR 576.55 ,,ECS,C1,10,WIN,1Y,NU," SAR 1,222.13 ",,ECS,C1,10,RH,1Y,NU, SAR 898.95 
7,12,12,ECS,C1,12,LNX,1Y,NU, SAR 691.86 ,,ECS,C1,12,WIN,1Y,NU," SAR 1,466.56 ",,ECS,C1,12,RH,1Y,NU," SAR 1,014.26 "
8,14,14,ECS,C1,14,LNX,1Y,NU, SAR 807.17 ,,ECS,C1,14,WIN,1Y,NU," SAR 1,710.98 ",,ECS,C1,14,RH,1Y,NU," SAR 1,129.57 "
9,16,16,ECS,C1,16,LNX,1Y,NU, SAR 922.48 ,,ECS,C1,16,WIN,1Y,NU," SAR 1,955.41 ",,ECS,C1,16,RH,1Y,NU," SAR 1,244.88 "
10,18,18,ECS,C1,18,LNX,1Y,NU," SAR 1,037.79 ",,ECS,C1,18,WIN,1Y,NU," SAR 2,199.83 ",,ECS,C1,18,RH,1Y,NU," SAR 1,750.19 "
11,20,20,ECS,C1,20,LNX,1Y,NU," SAR 1,153.10 ",,ECS,C1,20,WIN,1Y,NU," SAR 2,444.26 ",,ECS,C1,20,RH,1Y,NU," SAR 1,865.50 "
12,22,22,ECS,C1,22,LNX,1Y,NU," SAR 1,268.41 ",,ECS,C1,22,WIN,1Y,NU," SAR 2,688.69 ",,ECS,C1,22,RH,1Y,NU," SAR 1,980.81 "
13,24,24,ECS,C1,24,LNX,1Y,NU," SAR 1,383.72 ",,ECS,C1,24,WIN,1Y,NU," SAR 2,933.11 ",,ECS,C1,24,RH,1Y,NU," SAR 2,096.12 "
14,26,26,ECS,C1,26,LNX,1Y,NU," SAR 1,499.03 ",,ECS,C1,26,WIN,1Y,NU," SAR 3,177.54 ",,ECS,C1,26,RH,1Y,NU," SAR 2,211.43 "
15,28,28,ECS,C1,28,LNX,1Y,NU," SAR 1,614.34 ",,ECS,C1,28,WIN,1Y,NU," SAR 3,421.96 ",,ECS,C1,28,RH,1Y,NU," SAR 2,326.74 "
16,30,30,ECS,C1,30,LNX,1Y,NU," SAR 1,729.65 ",,ECS,C1,30,WIN,1Y,NU," SAR 3,666.39 ",,ECS,C1,30,RH,1Y,NU," SAR 2,442.05 "
17,32,32,ECS,C1,32,LNX,1Y,NU," SAR 1,844.96 ",,ECS,C1,32,WIN,1Y,NU," SAR 3,910.82 ",,ECS,C1,32,RH,1Y,NU," SAR 2,557.36 "
18,64,64,ECS,C1,64,LNX,1Y,NU," SAR 3,689.92 ",,ECS,C1,64,WIN,1Y,NU," SAR 7,821.63 ",,ECS,C1,64,RH,1Y,NU," SAR 4,402.32 "
19,128,128,ECS,C1,128,LNX,1Y,NU," SAR 7,379.84 ",,ECS,C1,128,WIN,1Y,NU," SAR 15,643.26 ",,ECS,C1,128,RH,1Y,NU," SAR 8,092.24 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:0.5),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,2,1,ECS,C2,1,LNX,1Y,NU, SAR 98.29 ,,ECS,C2,1,WIN,1Y,NU, SAR 196.61 ,,ECS,C2,1,RH,1Y,NU, SAR 420.69 
2,4,2,ECS,C2,2,LNX,1Y,NU, SAR 196.59 ,,ECS,C2,2,WIN,1Y,NU, SAR 393.22 ,,ECS,C2,2,RH,1Y,NU, SAR 518.99 
3,6,3,ECS,C2,3,LNX,1Y,NU, SAR 294.88 ,,ECS,C2,3,WIN,1Y,NU, SAR 589.84 ,,ECS,C2,3,RH,1Y,NU, SAR 617.28 
4,8,4,ECS,C2,4,LNX,1Y,NU, SAR 393.17 ,,ECS,C2,4,WIN,1Y,NU, SAR 786.45 ,,ECS,C2,4,RH,1Y,NU, SAR 715.57 
5,10,5,ECS,C2,5,LNX,1Y,NU, SAR 491.47 ,,ECS,C2,5,WIN,1Y,NU, SAR 983.06 ,,ECS,C2,5,RH,1Y,NU, SAR 813.87 
6,12,6,ECS,C2,6,LNX,1Y,NU, SAR 589.76 ,,ECS,C2,6,WIN,1Y,NU," SAR 1,179.67 ",,ECS,C2,6,RH,1Y,NU, SAR 912.16 
7,14,7,ECS,C2,7,LNX,1Y,NU, SAR 688.05 ,,ECS,C2,7,WIN,1Y,NU," SAR 1,376.28 ",,ECS,C2,7,RH,1Y,NU," SAR 1,010.45 "
8,16,8,ECS,C2,8,LNX,1Y,NU, SAR 786.34 ,,ECS,C2,8,WIN,1Y,NU," SAR 1,572.89 ",,ECS,C2,8,RH,1Y,NU," SAR 1,108.74 "
9,18,9,ECS,C2,9,LNX,1Y,NU, SAR 884.64 ,,ECS,C2,9,WIN,1Y,NU," SAR 1,769.51 ",,ECS,C2,9,RH,1Y,NU," SAR 1,597.04 "
10,20,10,ECS,C2,10,LNX,1Y,NU, SAR 982.93 ,,ECS,C2,10,WIN,1Y,NU," SAR 1,966.12 ",,ECS,C2,10,RH,1Y,NU," SAR 1,695.33 "
11,22,11,ECS,C2,11,LNX,1Y,NU," SAR 1,081.22 ",,ECS,C2,11,WIN,1Y,NU," SAR 2,162.73 ",,ECS,C2,11,RH,1Y,NU," SAR 1,793.62 "
12,24,12,ECS,C2,12,LNX,1Y,NU," SAR 1,179.52 ",,ECS,C2,12,WIN,1Y,NU," SAR 2,359.34 ",,ECS,C2,12,RH,1Y,NU," SAR 1,891.92 "
13,26,13,ECS,C2,13,LNX,1Y,NU," SAR 1,277.81 ",,ECS,C2,13,WIN,1Y,NU," SAR 2,555.95 ",,ECS,C2,13,RH,1Y,NU," SAR 1,990.21 "
14,28,14,ECS,C2,14,LNX,1Y,NU," SAR 1,376.10 ",,ECS,C2,14,WIN,1Y,NU," SAR 2,752.57 ",,ECS,C2,14,RH,1Y,NU," SAR 2,088.50 "
15,30,15,ECS,C2,15,LNX,1Y,NU," SAR 1,474.40 ",,ECS,C2,15,WIN,1Y,NU," SAR 2,949.18 ",,ECS,C2,15,RH,1Y,NU," SAR 2,186.80 "
16,32,16,ECS,C2,16,LNX,1Y,NU," SAR 1,572.69 ",,ECS,C2,16,WIN,1Y,NU," SAR 3,145.79 ",,ECS,C2,16,RH,1Y,NU," SAR 2,285.09 "
17,34,17,ECS,C2,17,LNX,1Y,NU," SAR 1,670.98 ",,ECS,C2,17,WIN,1Y,NU," SAR 3,342.40 ",,ECS,C2,17,RH,1Y,NU," SAR 2,383.38 "
18,36,18,ECS,C2,18,LNX,1Y,NU," SAR 1,769.27 ",,ECS,C2,18,WIN,1Y,NU," SAR 3,539.01 ",,ECS,C2,18,RH,1Y,NU," SAR 2,481.67 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:8),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,1,8,ECS,M1,8,LNX,1Y,NU, SAR 119.66 ,,ECS,M1,8,WIN,1Y,NU, SAR 230.38 ,,ECS,M1,8,RH,1Y,NU, SAR 337.90 
2,2,16,ECS,M1,16,LNX,1Y,NU, SAR 239.32 ,,ECS,M1,16,WIN,1Y,NU, SAR 460.75 ,,ECS,M1,16,RH,1Y,NU, SAR 457.56 
3,4,32,ECS,M1,32,LNX,1Y,NU, SAR 478.65 ,,ECS,M1,32,WIN,1Y,NU, SAR 921.50 ,,ECS,M1,32,RH,1Y,NU, SAR 696.89 
4,6,48,ECS,M1,48,LNX,1Y,NU, SAR 717.97 ,,ECS,M1,48,WIN,1Y,NU," SAR 1,382.26 ",,ECS,M1,48,RH,1Y,NU, SAR 936.21 
5,8,64,ECS,M1,64,LNX,1Y,NU, SAR 957.30 ,,ECS,M1,64,WIN,1Y,NU," SAR 1,843.01 ",,ECS,M1,64,RH,1Y,NU," SAR 1,175.54 "
6,10,80,ECS,M1,80,LNX,1Y,NU," SAR 1,196.62 ",,ECS,M1,80,WIN,1Y,NU," SAR 2,303.76 ",,ECS,M1,80,RH,1Y,NU," SAR 1,414.86 "
7,12,96,ECS,M1,96,LNX,1Y,NU," SAR 1,435.95 ",,ECS,M1,96,WIN,1Y,NU," SAR 2,764.51 ",,ECS,M1,96,RH,1Y,NU," SAR 1,654.19 "
8,14,112,ECS,M1,112,LNX,1Y,NU," SAR 1,675.27 ",,ECS,M1,112,WIN,1Y,NU," SAR 3,225.26 ",,ECS,M1,112,RH,1Y,NU," SAR 1,893.51 "
9,16,128,ECS,M1,128,LNX,1Y,NU," SAR 1,914.60 ",,ECS,M1,128,WIN,1Y,NU," SAR 3,686.02 ",,ECS,M1,128,RH,1Y,NU," SAR 2,132.84 "
10,18,144,ECS,M1,144,LNX,1Y,NU," SAR 2,153.92 ",,ECS,M1,144,WIN,1Y,NU," SAR 4,146.77 ",,ECS,M1,144,RH,1Y,NU," SAR 2,636.16 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:4),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,1,4,ECS,G1,4,LNX,1Y,PU, SAR 96.16 ,,ECS,G1,4,WIN,1Y,PU, SAR 207.61 ,,ECS,G1,4,RH,1Y,PU, SAR 381.36 
2,2,8,ECS,G1,8,LNX,1Y,PU, SAR 192.33 ,,ECS,G1,8,WIN,1Y,PU, SAR 415.23 ,,ECS,G1,8,RH,1Y,PU, SAR 477.53 
3,4,16,ECS,G1,16,LNX,1Y,PU, SAR 384.65 ,,ECS,G1,16,WIN,1Y,PU, SAR 830.45 ,,ECS,G1,16,RH,1Y,PU, SAR 669.85 
4,6,24,ECS,G1,24,LNX,1Y,PU, SAR 576.98 ,,ECS,G1,24,WIN,1Y,PU," SAR 1,245.68 ",,ECS,G1,24,RH,1Y,PU, SAR 862.18 
5,8,32,ECS,G1,32,LNX,1Y,PU, SAR 769.30 ,,ECS,G1,32,WIN,1Y,PU," SAR 1,660.91 ",,ECS,G1,32,RH,1Y,PU," SAR 1,054.50 "
6,10,40,ECS,G1,40,LNX,1Y,PU, SAR 961.63 ,,ECS,G1,40,WIN,1Y,PU," SAR 2,076.13 ",,ECS,G1,40,RH,1Y,PU," SAR 1,246.83 "
7,12,48,ECS,G1,48,LNX,1Y,PU," SAR 1,153.96 ",,ECS,G1,48,WIN,1Y,PU," SAR 2,491.36 ",,ECS,G1,48,RH,1Y,PU," SAR 1,439.16 "
8,14,56,ECS,G1,56,LNX,1Y,PU," SAR 1,346.28 ",,ECS,G1,56,WIN,1Y,PU," SAR 2,906.58 ",,ECS,G1,56,RH,1Y,PU," SAR 1,631.48 "
9,16,64,ECS,G1,64,LNX,1Y,PU," SAR 1,538.61 ",,ECS,G1,64,WIN,1Y,PU," SAR 3,321.81 ",,ECS,G1,64,RH,1Y,PU," SAR 1,823.81 "
10,18,72,ECS,G1,72,LNX,1Y,PU," SAR 1,730.93 ",,ECS,G1,72,WIN,1Y,PU," SAR 3,737.04 ",,ECS,G1,72,RH,1Y,PU," SAR 2,361.13 "
11,20,80,ECS,G1,80,LNX,1Y,PU," SAR 1,923.26 ",,ECS,G1,80,WIN,1Y,PU," SAR 4,152.26 ",,ECS,G1,80,RH,1Y,PU," SAR 2,553.46 "
12,22,88,ECS,G1,88,LNX,1Y,PU," SAR 2,115.59 ",,ECS,G1,88,WIN,1Y,PU," SAR 4,567.49 ",,ECS,G1,88,RH,1Y,PU," SAR 2,745.79 "
13,24,96,ECS,G1,96,LNX,1Y,PU," SAR 2,307.91 ",,ECS,G1,96,WIN,1Y,PU," SAR 4,982.72 ",,ECS,G1,96,RH,1Y,PU," SAR 2,938.11 "
14,26,104,ECS,G1,104,LNX,1Y,PU," SAR 2,500.24 ",,ECS,G1,104,WIN,1Y,PU," SAR 5,397.94 ",,ECS,G1,104,RH,1Y,PU," SAR 3,130.44 "
15,28,112,ECS,G1,112,LNX,1Y,PU," SAR 2,692.56 ",,ECS,G1,112,WIN,1Y,PU," SAR 5,813.17 ",,ECS,G1,112,RH,1Y,PU," SAR 3,322.76 "
16,30,120,ECS,G1,120,LNX,1Y,PU," SAR 2,884.89 ",,ECS,G1,120,WIN,1Y,PU," SAR 6,228.40 ",,ECS,G1,120,RH,1Y,PU," SAR 3,515.09 "
17,32,128,ECS,G1,128,LNX,1Y,PU," SAR 3,077.22 ",,ECS,G1,128,WIN,1Y,PU," SAR 6,643.62 ",,ECS,G1,128,RH,1Y,PU," SAR 3,707.42 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:2),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,1,2,ECS,G2,2,LNX,1Y,PU, SAR 71.23 ,,ECS,G2,2,WIN,1Y,PU, SAR 166.46 ,,ECS,G2,2,RH,1Y,PU, SAR 378.75 
2,2,4,ECS,G2,4,LNX,1Y,PU, SAR 142.45 ,,ECS,G2,4,WIN,1Y,PU, SAR 332.91 ,,ECS,G2,4,RH,1Y,PU, SAR 449.97 
3,4,8,ECS,G2,8,LNX,1Y,PU, SAR 284.90 ,,ECS,G2,8,WIN,1Y,PU, SAR 665.82 ,,ECS,G2,8,RH,1Y,PU, SAR 592.42 
4,6,12,ECS,G2,12,LNX,1Y,PU, SAR 427.35 ,,ECS,G2,12,WIN,1Y,PU, SAR 998.73 ,,ECS,G2,12,RH,1Y,PU, SAR 734.87 
5,8,16,ECS,G2,16,LNX,1Y,PU, SAR 569.80 ,,ECS,G2,16,WIN,1Y,PU," SAR 1,331.64 ",,ECS,G2,16,RH,1Y,PU, SAR 877.32 
6,10,20,ECS,G2,20,LNX,1Y,PU, SAR 712.26 ,,ECS,G2,20,WIN,1Y,PU," SAR 1,664.55 ",,ECS,G2,20,RH,1Y,PU," SAR 1,019.78 "
7,12,24,ECS,G2,24,LNX,1Y,PU, SAR 854.71 ,,ECS,G2,24,WIN,1Y,PU," SAR 1,997.46 ",,ECS,G2,24,RH,1Y,PU," SAR 1,162.23 "
8,14,28,ECS,G2,28,LNX,1Y,PU, SAR 997.16 ,,ECS,G2,28,WIN,1Y,PU," SAR 2,330.37 ",,ECS,G2,28,RH,1Y,PU," SAR 1,304.68 "
9,16,32,ECS,G2,32,LNX,1Y,PU," SAR 1,139.61 ",,ECS,G2,32,WIN,1Y,PU," SAR 2,663.28 ",,ECS,G2,32,RH,1Y,PU," SAR 1,447.13 "
10,18,36,ECS,G2,36,LNX,1Y,PU," SAR 1,282.06 ",,ECS,G2,36,WIN,1Y,PU," SAR 2,996.19 ",,ECS,G2,36,RH,1Y,PU," SAR 1,961.58 "
11,20,40,ECS,G2,40,LNX,1Y,PU," SAR 1,424.51 ",,ECS,G2,40,WIN,1Y,PU," SAR 3,329.10 ",,ECS,G2,40,RH,1Y,PU," SAR 2,104.03 "
12,22,44,ECS,G2,44,LNX,1Y,PU," SAR 1,566.96 ",,ECS,G2,44,WIN,1Y,PU," SAR 3,662.01 ",,ECS,G2,44,RH,1Y,PU," SAR 2,246.48 "
13,24,48,ECS,G2,48,LNX,1Y,PU," SAR 1,709.41 ",,ECS,G2,48,WIN,1Y,PU," SAR 3,994.92 ",,ECS,G2,48,RH,1Y,PU," SAR 2,388.93 "
14,26,52,ECS,G2,52,LNX,1Y,PU," SAR 1,851.87 ",,ECS,G2,52,WIN,1Y,PU," SAR 4,327.84 ",,ECS,G2,52,RH,1Y,PU," SAR 2,531.39 "
15,28,56,ECS,G2,56,LNX,1Y,PU," SAR 1,994.32 ",,ECS,G2,56,WIN,1Y,PU," SAR 4,660.75 ",,ECS,G2,56,RH,1Y,PU," SAR 2,673.84 "
16,30,60,ECS,G2,60,LNX,1Y,PU," SAR 2,136.77 ",,ECS,G2,60,WIN,1Y,PU," SAR 4,993.66 ",,ECS,G2,60,RH,1Y,PU," SAR 2,816.29 "
17,32,64,ECS,G2,64,LNX,1Y,PU," SAR 2,279.22 ",,ECS,G2,64,WIN,1Y,PU," SAR 5,326.57 ",,ECS,G2,64,RH,1Y,PU," SAR 2,958.74 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:1),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,1,1,ECS,C1,1,LNX,1Y,PU, SAR 54.99 ,,ECS,C1,1,WIN,1Y,PU, SAR 119.65 ,,ECS,C1,1,RH,1Y,PU, SAR 362.51 
2,2,2,ECS,C1,2,LNX,1Y,PU, SAR 109.99 ,,ECS,C1,2,WIN,1Y,PU, SAR 239.29 ,,ECS,C1,2,RH,1Y,PU, SAR 417.51 
3,4,4,ECS,C1,4,LNX,1Y,PU, SAR 219.98 ,,ECS,C1,4,WIN,1Y,PU, SAR 478.58 ,,ECS,C1,4,RH,1Y,PU, SAR 527.50 
4,6,6,ECS,C1,6,LNX,1Y,PU, SAR 329.96 ,,ECS,C1,6,WIN,1Y,PU, SAR 717.87 ,,ECS,C1,6,RH,1Y,PU, SAR 637.48 
5,8,8,ECS,C1,8,LNX,1Y,PU, SAR 439.95 ,,ECS,C1,8,WIN,1Y,PU, SAR 957.16 ,,ECS,C1,8,RH,1Y,PU, SAR 747.47 
6,10,10,ECS,C1,10,LNX,1Y,PU, SAR 549.94 ,,ECS,C1,10,WIN,1Y,PU," SAR 1,196.46 ",,ECS,C1,10,RH,1Y,PU, SAR 857.46 
7,12,12,ECS,C1,12,LNX,1Y,PU, SAR 659.93 ,,ECS,C1,12,WIN,1Y,PU," SAR 1,435.75 ",,ECS,C1,12,RH,1Y,PU, SAR 967.45 
8,14,14,ECS,C1,14,LNX,1Y,PU, SAR 769.92 ,,ECS,C1,14,WIN,1Y,PU," SAR 1,675.04 ",,ECS,C1,14,RH,1Y,PU," SAR 1,077.44 "
9,16,16,ECS,C1,16,LNX,1Y,PU, SAR 879.90 ,,ECS,C1,16,WIN,1Y,PU," SAR 1,914.33 ",,ECS,C1,16,RH,1Y,PU," SAR 1,187.42 "
10,18,18,ECS,C1,18,LNX,1Y,PU, SAR 989.89 ,,ECS,C1,18,WIN,1Y,PU," SAR 2,153.62 ",,ECS,C1,18,RH,1Y,PU," SAR 1,669.41 "
11,20,20,ECS,C1,20,LNX,1Y,PU," SAR 1,099.88 ",,ECS,C1,20,WIN,1Y,PU," SAR 2,392.91 ",,ECS,C1,20,RH,1Y,PU," SAR 1,779.40 "
12,22,22,ECS,C1,22,LNX,1Y,PU," SAR 1,209.87 ",,ECS,C1,22,WIN,1Y,PU," SAR 2,632.20 ",,ECS,C1,22,RH,1Y,PU," SAR 1,889.39 "
13,24,24,ECS,C1,24,LNX,1Y,PU," SAR 1,319.86 ",,ECS,C1,24,WIN,1Y,PU," SAR 2,871.49 ",,ECS,C1,24,RH,1Y,PU," SAR 1,999.38 "
14,26,26,ECS,C1,26,LNX,1Y,PU," SAR 1,429.84 ",,ECS,C1,26,WIN,1Y,PU," SAR 3,110.78 ",,ECS,C1,26,RH,1Y,PU," SAR 2,109.36 "
15,28,28,ECS,C1,28,LNX,1Y,PU," SAR 1,539.83 ",,ECS,C1,28,WIN,1Y,PU," SAR 3,350.07 ",,ECS,C1,28,RH,1Y,PU," SAR 2,219.35 "
16,30,30,ECS,C1,30,LNX,1Y,PU," SAR 1,649.82 ",,ECS,C1,30,WIN,1Y,PU," SAR 3,589.37 ",,ECS,C1,30,RH,1Y,PU," SAR 2,329.34 "
17,32,32,ECS,C1,32,LNX,1Y,PU," SAR 1,759.81 ",,ECS,C1,32,WIN,1Y,PU," SAR 3,828.66 ",,ECS,C1,32,RH,1Y,PU," SAR 2,439.33 "
18,64,64,ECS,C1,64,LNX,1Y,PU," SAR 3,519.62 ",,ECS,C1,64,WIN,1Y,PU," SAR 7,657.31 ",,ECS,C1,64,RH,1Y,PU," SAR 4,199.14 "
19,128,128,ECS,C1,128,LNX,1Y,PU," SAR 7,039.23 ",,ECS,C1,128,WIN,1Y,PU," SAR 15,314.62 ",,ECS,C1,128,RH,1Y,PU," SAR 7,718.75 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:0.5),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,2,1,ECS,C2,1,LNX,1Y,PU, SAR 93.76 ,,ECS,C2,1,WIN,1Y,PU, SAR 192.48 ,,ECS,C2,1,RH,1Y,PU, SAR 401.28 
2,4,2,ECS,C2,2,LNX,1Y,PU, SAR 187.51 ,,ECS,C2,2,WIN,1Y,PU, SAR 384.96 ,,ECS,C2,2,RH,1Y,PU, SAR 495.03 
3,6,3,ECS,C2,3,LNX,1Y,PU, SAR 281.27 ,,ECS,C2,3,WIN,1Y,PU, SAR 577.44 ,,ECS,C2,3,RH,1Y,PU, SAR 588.79 
4,8,4,ECS,C2,4,LNX,1Y,PU, SAR 375.03 ,,ECS,C2,4,WIN,1Y,PU, SAR 769.93 ,,ECS,C2,4,RH,1Y,PU, SAR 682.55 
