,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10,5,ECS,C2,5,LNX,1Y,PU, SAR 468.78 ,,ECS,C2,5,WIN,1Y,PU, SAR 962.41 ,,ECS,C2,5,RH,1Y,PU, SAR 776.30 
6,12,6,ECS,C2,6,LNX,1Y,PU, SAR 562.54 ,,ECS,C2,6,WIN,1Y,PU," SAR 1,154.89 ",,ECS,C2,6,RH,1Y,PU, SAR 870.06 
7,14,7,ECS,C2,7,LNX,1Y,PU, SAR 656.29 ,,ECS,C2,7,WIN,1Y,PU," SAR 1,347.37 ",,ECS,C2,7,RH,1Y,PU, SAR 963.81 
8,16,8,ECS,C2,8,LNX,1Y,PU, SAR 750.05 ,,ECS,C2,8,WIN,1Y,PU," SAR 1,539.85 ",,ECS,C2,8,RH,1Y,PU," SAR 1,057.57 "
9,18,9,ECS,C2,9,LNX,1Y,PU, SAR 843.81 ,,ECS,C2,9,WIN,1Y,PU," SAR 1,732.33 ",,ECS,C2,9,RH,1Y,PU," SAR 1,523.33 "
10,20,10,ECS,C2,10,LNX,1Y,PU, SAR 937.56 ,,ECS,C2,10,WIN,1Y,PU," SAR 1,924.81 ",,ECS,C2,10,RH,1Y,PU," SAR 1,617.08 "
11,22,11,ECS,C2,11,LNX,1Y,PU," SAR 1,031.32 ",,ECS,C2,11,WIN,1Y,PU," SAR 2,117.29 ",,ECS,C2,11,RH,1Y,PU," SAR 1,710.84 "
12,24,12,ECS,C2,12,LNX,1Y,PU," SAR 1,125.08 ",,ECS,C2,12,WIN,1Y,PU," SAR 2,309.78 ",,ECS,C2,12,RH,1Y,PU," SAR 1,804.60 "
13,26,13,ECS,C2,13,LNX,1Y,PU," SAR 1,218.83 ",,ECS,C2,13,WIN,1Y,PU," SAR 2,502.26 ",,ECS,C2,13,RH,1Y,PU," SAR 1,898.35 "
14,28,14,ECS,C2,14,LNX,1Y,PU," SAR 1,312.59 ",,ECS,C2,14,WIN,1Y,PU," SAR 2,694.74 ",,ECS,C2,14,RH,1Y,PU," SAR 1,992.11 "
15,30,15,ECS,C2,15,LNX,1Y,PU," SAR 1,406.35 ",,ECS,C2,15,WIN,1Y,PU," SAR 2,887.22 ",,ECS,C2,15,RH,1Y,PU," SAR 2,085.87 "
16,32,16,ECS,C2,16,LNX,1Y,PU," SAR 1,500.10 ",,ECS,C2,16,WIN,1Y,PU," SAR 3,079.70 ",,ECS,C2,16,RH,1Y,PU," SAR 2,179.62 "
17,34,17,ECS,C2,17,LNX,1Y,PU," SAR 1,593.86 ",,ECS,C2,17,WIN,1Y,PU," SAR 3,272.18 ",,ECS,C2,17,RH,1Y,PU," SAR 2,273.38 "
18,36,18,ECS,C2,18,LNX,1Y,PU," SAR 1,687.62 ",,ECS,C2,18,WIN,1Y,PU," SAR 3,464.66 ",,ECS,C2,18,RH,1Y,PU," SAR 2,367.14 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:8),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,1,8,ECS,M1,8,LNX,1Y,PU, SAR 112.86 ,,ECS,M1,8,WIN,1Y,PU, SAR 224.62 ,,ECS,M1,8,RH,1Y,PU, SAR 318.70 
2,2,16,ECS,M1,16,LNX,1Y,PU, SAR 225.73 ,,ECS,M1,16,WIN,1Y,PU, SAR 449.23 ,,ECS,M1,16,RH,1Y,PU, SAR 431.57 
3,4,32,ECS,M1,32,LNX,1Y,PU, SAR 451.45 ,,ECS,M1,32,WIN,1Y,PU, SAR 898.47 ,,ECS,M1,32,RH,1Y,PU, SAR 657.29 
4,6,48,ECS,M1,48,LNX,1Y,PU, SAR 677.18 ,,ECS,M1,48,WIN,1Y,PU," SAR 1,347.70 ",,ECS,M1,48,RH,1Y,PU, SAR 883.02 
5,8,64,ECS,M1,64,LNX,1Y,PU, SAR 902.91 ,,ECS,M1,64,WIN,1Y,PU," SAR 1,796.93 ",,ECS,M1,64,RH,1Y,PU," SAR 1,108.75 "
6,10,80,ECS,M1,80,LNX,1Y,PU," SAR 1,128.63 ",,ECS,M1,80,WIN,1Y,PU," SAR 2,246.17 ",,ECS,M1,80,RH,1Y,PU," SAR 1,334.47 "
7,12,96,ECS,M1,96,LNX,1Y,PU," SAR 1,354.36 ",,ECS,M1,96,WIN,1Y,PU," SAR 2,695.40 ",,ECS,M1,96,RH,1Y,PU," SAR 1,560.20 "
8,14,112,ECS,M1,112,LNX,1Y,PU," SAR 1,580.09 ",,ECS,M1,112,WIN,1Y,PU," SAR 3,144.63 ",,ECS,M1,112,RH,1Y,PU," SAR 1,785.93 "
9,16,128,ECS,M1,128,LNX,1Y,PU," SAR 1,805.81 ",,ECS,M1,128,WIN,1Y,PU," SAR 3,593.87 ",,ECS,M1,128,RH,1Y,PU," SAR 2,011.65 "
10,18,144,ECS,M1,144,LNX,1Y,PU," SAR 2,031.54 ",,ECS,M1,144,WIN,1Y,PU," SAR 4,043.10 ",,ECS,M1,144,RH,1Y,PU," SAR 2,486.38 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:4),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,1,4,ECS,G1,4,LNX,1Y,FU, SAR 93.65 ,,ECS,G1,4,WIN,1Y,FU, SAR 205.38 ,,ECS,G1,4,RH,1Y,FU, SAR 371.41 
2,2,8,ECS,G1,8,LNX,1Y,FU, SAR 187.31 ,,ECS,G1,8,WIN,1Y,FU, SAR 410.76 ,,ECS,G1,8,RH,1Y,FU, SAR 465.07 
3,4,16,ECS,G1,16,LNX,1Y,FU, SAR 374.62 ,,ECS,G1,16,WIN,1Y,FU, SAR 821.52 ,,ECS,G1,16,RH,1Y,FU, SAR 652.38 
4,6,24,ECS,G1,24,LNX,1Y,FU, SAR 561.93 ,,ECS,G1,24,WIN,1Y,FU," SAR 1,232.28 ",,ECS,G1,24,RH,1Y,FU, SAR 839.69 
5,8,32,ECS,G1,32,LNX,1Y,FU, SAR 749.24 ,,ECS,G1,32,WIN,1Y,FU," SAR 1,643.05 ",,ECS,G1,32,RH,1Y,FU," SAR 1,027.00 "
6,10,40,ECS,G1,40,LNX,1Y,FU, SAR 936.54 ,,ECS,G1,40,WIN,1Y,FU," SAR 2,053.81 ",,ECS,G1,40,RH,1Y,FU," SAR 1,214.30 "
7,12,48,ECS,G1,48,LNX,1Y,FU," SAR 1,123.85 ",,ECS,G1,48,WIN,1Y,FU," SAR 2,464.57 ",,ECS,G1,48,RH,1Y,FU," SAR 1,401.61 "
8,14,56,ECS,G1,56,LNX,1Y,FU," SAR 1,311.16 ",,ECS,G1,56,WIN,1Y,FU," SAR 2,875.33 ",,ECS,G1,56,RH,1Y,FU," SAR 1,588.92 "
9,16,64,ECS,G1,64,LNX,1Y,FU," SAR 1,498.47 ",,ECS,G1,64,WIN,1Y,FU," SAR 3,286.09 ",,ECS,G1,64,RH,1Y,FU," SAR 1,776.23 "
10,18,72,ECS,G1,72,LNX,1Y,FU," SAR 1,685.78 ",,ECS,G1,72,WIN,1Y,FU," SAR 3,696.85 ",,ECS,G1,72,RH,1Y,FU," SAR 2,299.54 "
11,20,80,ECS,G1,80,LNX,1Y,FU," SAR 1,873.09 ",,ECS,G1,80,WIN,1Y,FU," SAR 4,107.62 ",,ECS,G1,80,RH,1Y,FU," SAR 2,486.85 "
12,22,88,ECS,G1,88,LNX,1Y,FU," SAR 2,060.40 ",,ECS,G1,88,WIN,1Y,FU," SAR 4,518.38 ",,ECS,G1,88,RH,1Y,FU," SAR 2,674.16 "
13,24,96,ECS,G1,96,LNX,1Y,FU," SAR 2,247.71 ",,ECS,G1,96,WIN,1Y,FU," SAR 4,929.14 ",,ECS,G1,96,RH,1Y,FU," SAR 2,861.47 "
14,26,104,ECS,G1,104,LNX,1Y,FU," SAR 2,435.01 ",,ECS,G1,104,WIN,1Y,FU," SAR 5,339.90 ",,ECS,G1,104,RH,1Y,FU," SAR 3,048.77 "
15,28,112,ECS,G1,112,LNX,1Y,FU," SAR 2,622.32 ",,ECS,G1,112,WIN,1Y,FU," SAR 5,750.66 ",,ECS,G1,112,RH,1Y,FU," SAR 3,236.08 "
16,30,120,ECS,G1,120,LNX,1Y,FU," SAR 2,809.63 ",,ECS,G1,120,WIN,1Y,FU," SAR 6,161.42 ",,ECS,G1,120,RH,1Y,FU," SAR 3,423.39 "
17,32,128,ECS,G1,128,LNX,1Y,FU," SAR 2,996.94 ",,ECS,G1,128,WIN,1Y,FU," SAR 6,572.19 ",,ECS,GI,128,RH,1Y,FU," SAR 3,610.70 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:2),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,1,2,ECS,G2,2,LNX,1Y,FU, SAR 70.08 ,,ECS,G2,2,WIN,1Y,FU, SAR 163.60 ,,ECS,G2,2,RH,1Y,FU, SAR 372.64 
2,2,4,ECS,G2,4,LNX,1Y,FU, SAR 140.15 ,,ECS,G2,4,WIN,1Y,FU, SAR 327.20 ,,ECS,G2,4,RH,1Y,FU, SAR 442.71 
3,4,8,ECS,G2,8,LNX,1Y,FU, SAR 280.31 ,,ECS,G2,8,WIN,1Y,FU, SAR 654.39 ,,ECS,G2,8,RH,1Y,FU, SAR 582.87 
4,6,12,ECS,G2,12,LNX,1Y,FU, SAR 420.46 ,,ECS,G2,12,WIN,1Y,FU, SAR 981.59 ,,ECS,G2,12,RH,1Y,FU, SAR 723.02 
5,8,16,ECS,G2,16,LNX,1Y,FU, SAR 560.61 ,,ECS,G2,16,WIN,1Y,FU," SAR 1,308.78 ",,ECS,G2,16,RH,1Y,FU, SAR 863.17 
6,10,20,ECS,G2,20,LNX,1Y,FU, SAR 700.77 ,,ECS,G2,20,WIN,1Y,FU," SAR 1,635.98 ",,ECS,G2,20,RH,1Y,FU," SAR 1,003.33 "
7,12,24,ECS,G2,24,LNX,1Y,FU, SAR 840.92 ,,ECS,G2,24,WIN,1Y,FU," SAR 1,963.17 ",,ECS,G2,24,RH,1Y,FU," SAR 1,143.48 "
8,14,28,ECS,G2,28,LNX,1Y,FU, SAR 981.08 ,,ECS,G2,28,WIN,1Y,FU," SAR 2,290.37 ",,ECS,G2,28,RH,1Y,FU," SAR 1,283.64 "
9,16,32,ECS,G2,32,LNX,1Y,FU," SAR 1,121.23 ",,ECS,G2,32,WIN,1Y,FU," SAR 2,617.56 ",,ECS,G2,32,RH,1Y,FU," SAR 1,423.79 "
10,18,36,ECS,G2,36,LNX,1Y,FU," SAR 1,261.38 ",,ECS,G2,36,WIN,1Y,FU," SAR 2,944.76 ",,ECS,G2,36,RH,1Y,FU," SAR 1,929.94 "
11,20,40,ECS,G2,40,LNX,1Y,FU," SAR 1,401.54 ",,ECS,G2,40,WIN,1Y,FU," SAR 3,271.95 ",,ECS,G2,40,RH,1Y,FU," SAR 2,070.10 "
12,22,44,ECS,G2,44,LNX,1Y,FU," SAR 1,541.69 ",,ECS,G2,44,WIN,1Y,FU," SAR 3,599.15 ",,ECS,G2,44,RH,1Y,FU," SAR 2,210.25 "
13,24,48,ECS,G2,48,LNX,1Y,FU," SAR 1,681.84 ",,ECS,G2,48,WIN,1Y,FU," SAR 3,926.34 ",,ECS,G2,48,RH,1Y,FU," SAR 2,350.40 "
14,26,52,ECS,G2,52,LNX,1Y,FU," SAR 1,822.00 ",,ECS,G2,52,WIN,1Y,FU," SAR 4,253.54 ",,ECS,G2,52,RH,1Y,FU," SAR 2,490.56 "
15,28,56,ECS,G2,56,LNX,1Y,FU," SAR 1,962.15 ",,ECS,G2,56,WIN,1Y,FU," SAR 4,580.73 ",,ECS,G2,56,RH,1Y,FU," SAR 2,630.71 "
16,30,60,ECS,G2,60,LNX,1Y,FU," SAR 2,102.30 ",,ECS,G2,60,WIN,1Y,FU," SAR 4,907.93 ",,ECS,G2,60,RH,1Y,FU," SAR 2,770.86 "
17,32,64,ECS,G2,64,LNX,1Y,FU," SAR 2,242.46 ",,ECS,G2,64,WIN,1Y,FU," SAR 5,235.12 ",,ECS,G2,64,RH,1Y,FU," SAR 2,911.02 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:1),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,1,1,ECS,C1,1,LNX,1Y,FU, SAR 54.11 ,,ECS,C1,1,WIN,1Y,FU, SAR 117.59 ,,ECS,C1,1,RH,1Y,FU, SAR 356.67 
2,2,2,ECS,C1,2,LNX,1Y,FU, SAR 108.21 ,,ECS,C1,2,WIN,1Y,FU, SAR 235.18 ,,ECS,C1,2,RH,1Y,FU, SAR 410.77 
3,4,4,ECS,C1,4,LNX,1Y,FU, SAR 216.43 ,,ECS,C1,4,WIN,1Y,FU, SAR 470.37 ,,ECS,C1,4,RH,1Y,FU, SAR 518.99 
4,6,6,ECS,C1,6,LNX,1Y,FU, SAR 324.64 ,,ECS,C1,6,WIN,1Y,FU, SAR 705.55 ,,ECS,C1,6,RH,1Y,FU, SAR 627.20 
5,8,8,ECS,C1,8,LNX,1Y,FU, SAR 432.86 ,,ECS,C1,8,WIN,1Y,FU, SAR 940.73 ,,ECS,C1,8,RH,1Y,FU, SAR 735.42 
6,10,10,ECS,C1,10,LNX,1Y,FU, SAR 541.07 ,,ECS,C1,10,WIN,1Y,FU," SAR 1,175.92 ",,ECS,C1,10,RH,1Y,FU, SAR 843.63 
7,12,12,ECS,C1,12,LNX,1Y,FU, SAR 649.28 ,,ECS,C1,12,WIN,1Y,FU," SAR 1,411.10 ",,ECS,C1,12,RH,1Y,FU, SAR 951.84 
8,14,14,ECS,C1,14,LNX,1Y,FU, SAR 757.50 ,,ECS,C1,14,WIN,1Y,FU," SAR 1,646.28 ",,ECS,C1,14,RH,1Y,FU," SAR 1,060.06 "
9,16,16,ECS,C1,16,LNX,1Y,FU, SAR 865.71 ,,ECS,C1,16,WIN,1Y,FU," SAR 1,881.46 ",,ECS,C1,16,RH,1Y,FU," SAR 1,168.27 "
10,18,18,ECS,C1,18,LNX,1Y,FU, SAR 973.93 ,,ECS,C1,18,WIN,1Y,FU," SAR 2,116.65 ",,ECS,C1,18,RH,1Y,FU," SAR 1,642.49 "
11,20,20,ECS,C1,20,LNX,1Y,FU," SAR 1,082.14 ",,ECS,C1,20,WIN,1Y,FU," SAR 2,351.83 ",,ECS,C1,20,RH,1Y,FU," SAR 1,750.70 "
12,22,22,ECS,C1,22,LNX,1Y,FU," SAR 1,190.35 ",,ECS,C1,22,WIN,1Y,FU," SAR 2,587.01 ",,ECS,C1,22,RH,1Y,FU," SAR 1,858.91 "
13,24,24,ECS,C1,24,LNX,1Y,FU," SAR 1,298.57 ",,ECS,C1,24,WIN,1Y,FU," SAR 2,822.20 ",,ECS,C1,24,RH,1Y,FU," SAR 1,967.13 "
14,26,26,ECS,C1,26,LNX,1Y,FU," SAR 1,406.78 ",,ECS,C1,26,WIN,1Y,FU," SAR 3,057.38 ",,ECS,C1,26,RH,1Y,FU," SAR 2,075.34 "
15,28,28,ECS,C1,28,LNX,1Y,FU," SAR 1,515.00 ",,ECS,C1,28,WIN,1Y,FU," SAR 3,292.56 ",,ECS,C1,28,RH,1Y,FU," SAR 2,183.56 "
16,30,30,ECS,C1,30,LNX,1Y,FU," SAR 1,623.21 ",,ECS,C1,30,WIN,1Y,FU," SAR 3,527.75 ",,ECS,C1,30,RH,1Y,FU," SAR 2,291.77 "
17,32,32,ECS,C1,32,LNX,1Y,FU," SAR 1,731.42 ",,ECS,C1,32,WIN,1Y,FU," SAR 3,762.93 ",,ECS,C1,32,RH,1Y,FU," SAR 2,399.98 "
18,64,64,ECS,C1,64,LNX,1Y,FU," SAR 3,462.85 ",,ECS,C1,64,WIN,1Y,FU," SAR 7,525.86 ",,ECS,C1,64,RH,1Y,FU," SAR 4,131.41 "
19,128,128,ECS,C1,128,LNX,1Y,FU," SAR 6,925.70 ",,ECS,C1,128,WIN,1Y,FU," SAR 15,051.71 ",,ECS,C1,128,RH,1Y,FU," SAR 7,594.26 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:0.5),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,2,1,ECS,C2,1,LNX,1Y,FU, SAR 92.24 ,,ECS,C2,1,WIN,1Y,FU, SAR 189.18 ,,ECS,C2,1,RH,1Y,FU, SAR 394.80 
2,4,2,ECS,C2,2,LNX,1Y,FU, SAR 184.49 ,,ECS,C2,2,WIN,1Y,FU, SAR 378.35 ,,ECS,C2,2,RH,1Y,FU, SAR 487.05 
3,6,3,ECS,C2,3,LNX,1Y,FU, SAR 276.73 ,,ECS,C2,3,WIN,1Y,FU, SAR 567.53 ,,ECS,C2,3,RH,1Y,FU, SAR 579.29 
4,8,4,ECS,C2,4,LNX,1Y,FU, SAR 368.98 ,,ECS,C2,4,WIN,1Y,FU, SAR 756.71 ,,ECS,C2,4,RH,1Y,FU, SAR 671.54 
5,10,5,ECS,C2,5,LNX,1Y,FU, SAR 461.22 ,,ECS,C2,5,WIN,1Y,FU, SAR 945.88 ,,ECS,C2,5,RH,1Y,FU, SAR 763.78 
6,12,6,ECS,C2,6,LNX,1Y,FU, SAR 553.47 ,,ECS,C2,6,WIN,1Y,FU," SAR 1,135.06 ",,ECS,C2,6,RH,1Y,FU, SAR 856.03 
7,14,7,ECS,C2,7,LNX,1Y,FU, SAR 645.71 ,,ECS,C2,7,WIN,1Y,FU," SAR 1,324.24 ",,ECS,C2,7,RH,1Y,FU, SAR 948.27 
8,16,8,ECS,C2,8,LNX,1Y,FU, SAR 737.95 ,,ECS,C2,8,WIN,1Y,FU," SAR 1,513.42 ",,ECS,C2,8,RH,1Y,FU," SAR 1,040.51 "
9,18,9,ECS,C2,9,LNX,1Y,FU, SAR 830.20 ,,ECS,C2,9,WIN,1Y,FU," SAR 1,702.59 ",,ECS,C2,9,RH,1Y,FU," SAR 1,498.76 "
10,20,10,ECS,C2,10,LNX,1Y,FU, SAR 922.44 ,,ECS,C2,10,WIN,1Y,FU," SAR 1,891.77 ",,ECS,C2,10,RH,1Y,FU," SAR 1,591.00 "
11,22,11,ECS,C2,11,LNX,1Y,FU," SAR 1,014.69 ",,ECS,C2,11,WIN,1Y,FU," SAR 2,080.95 ",,ECS,C2,11,RH,1Y,FU," SAR 1,683.25 "
12,24,12,ECS,C2,12,LNX,1Y,FU," SAR 1,106.93 ",,ECS,C2,12,WIN,1Y,FU," SAR 2,270.12 ",,ECS,C2,12,RH,1Y,FU," SAR 1,775.49 "
13,26,13,ECS,C2,13,LNX,1Y,FU," SAR 1,199.17 ",,ECS,C2,13,WIN,1Y,FU," SAR 2,459.30 ",,ECS,C2,13,RH,1Y,FU," SAR 1,867.73 "
14,28,14,ECS,C2,14,LNX,1Y,FU," SAR 1,291.42 ",,ECS,C2,14,WIN,1Y,FU," SAR 2,648.48 ",,ECS,C2,14,RH,1Y,FU," SAR 1,959.98 "
15,30,15,ECS,C2,15,LNX,1Y,FU," SAR 1,383.66 ",,ECS,C2,15,WIN,1Y,FU," SAR 2,837.65 ",,ECS,C2,15,RH,1Y,FU," SAR 2,052.22 "
16,32,16,ECS,C2,16,LNX,1Y,FU," SAR 1,475.91 ",,ECS,C2,16,WIN,1Y,FU," SAR 3,026.83 ",,ECS,C2,16,RH,1Y,FU," SAR 2,144.47 "
17,34,17,ECS,C2,17,LNX,1Y,FU," SAR 1,568.15 ",,ECS,C2,17,WIN,1Y,FU," SAR 3,216.01 ",,ECS,C2,17,RH,1Y,FU," SAR 2,236.71 "
18,36,18,ECS,C2,18,LNX,1Y,FU," SAR 1,660.40 ",,ECS,C2,18,WIN,1Y,FU," SAR 3,405.18 ",,ECS,C2,18,RH,1Y,FU," SAR 2,328.96 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:8),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,1,8,ECS,M1,8,LNX,1Y,FU, SAR 111.50 ,,ECS,M1,8,WIN,1Y,FU, SAR 222.70 ,,ECS,M1,8,RH,1Y,FU, SAR 314.86 
2,2,16,ECS,M1,16,LNX,1Y,FU, SAR 223.01 ,,ECS,M1,16,WIN,1Y,FU, SAR 445.39 ,,ECS,M1,16,RH,1Y,FU, SAR 426.37 
3,4,32,ECS,M1,32,LNX,1Y,FU, SAR 446.01 ,,ECS,M1,32,WIN,1Y,FU, SAR 890.79 ,,ECS,M1,32,RH,1Y,FU, SAR 649.37 
4,6,48,ECS,M1,48,LNX,1Y,FU, SAR 669.02 ,,ECS,M1,48,WIN,1Y,FU," SAR 1,336.18 ",,ECS,M1,48,RH,1Y,FU, SAR 872.38 
5,8,64,ECS,M1,64,LNX,1Y,FU, SAR 892.03 ,,ECS,M1,64,WIN,1Y,FU," SAR 1,781.57 ",,ECS,M1,64,RH,1Y,FU," SAR 1,095.39 "
6,10,80,ECS,M1,80,LNX,1Y,FU," SAR 1,115.04 ",,ECS,M1,80,WIN,1Y,FU," SAR 2,226.97 ",,ECS,M1,80,RH,1Y,FU," SAR 1,318.40 "
7,12,96,ECS,M1,96,LNX,1Y,FU," SAR 1,338.04 ",,ECS,M1,96,WIN,1Y,FU," SAR 2,672.36 ",,ECS,M1,96,RH,1Y,FU," SAR 1,541.40 "
8,14,112,ECS,M1,112,LNX,1Y,FU," SAR 1,561.05 ",,ECS,M1,112,WIN,1Y,FU," SAR 3,117.76 ",,ECS,M1,112,RH,1Y,FU," SAR 1,764.41 "
9,16,128,ECS,M1,128,LNX,1Y,FU," SAR 1,784.06 ",,ECS,M1,128,WIN,1Y,FU," SAR 3,563.15 ",,ECS,M1,128,RH,1Y,FU," SAR 1,987.42 "
10,18,144,ECS,M1,144,LNX,1Y,FU," SAR 2,007.06 ",,ECS,M1,144,WIN,1Y,FU," SAR 4,008.54 ",,ECS,M1,144,RH,1Y,FU," SAR 2,456.42 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:4),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,1,4,ECS,G1,4,LNX,3Y,NU, SAR 71.08 ,,ECS,G1,4,WIN,3Y,NU, SAR 184.17 ,,ECS,G1,4,RH,3Y,NU, SAR 281.88 
2,2,8,ECS,G1,8,LNX,3Y,NU, SAR 142.15 ,,ECS,G1,8,WIN,3Y,NU, SAR 368.35 ,,ECS,G1,8,RH,3Y,NU, SAR 352.95 
3,4,16,ECS,G1,16,LNX,3Y,NU, SAR 284.31 ,,ECS,G1,16,WIN,3Y,NU, SAR 736.69 ,,ECS,G1,16,RH,3Y,NU, SAR 495.11 
4,6,24,ECS,G1,24,LNX,3Y,NU, SAR 426.46 ,,ECS,G1,24,WIN,3Y,NU," SAR 1,105.04 ",,ECS,G1,24,RH,3Y,NU, SAR 637.26 
5,8,32,ECS,G1,32,LNX,3Y,NU, SAR 568.62 ,,ECS,G1,32,WIN,3Y,NU," SAR 1,473.38 ",,ECS,G1,32,RH,3Y,NU, SAR 779.42 
